name,name_ascii,isCapital,latCentre,longCentre,iso2,iso3,countrySubIso
Tokyo,Tokyo,1,35.6897,139.6922,JP,JPN,NULL
Jakarta,Jakarta,1,-6.2146,106.8451,ID,IDN,NULL
Delhi,Delhi,0,28.66,77.23,IN,IND,NULL
Mumbai,Mumbai,0,18.9667,72.8333,IN,IND,NULL
Manila,Manila,1,14.6,120.9833,PH,PHL,NULL
Shanghai,Shanghai,0,31.1667,121.4667,CN,CHN,NULL
São Paulo,Sao Paulo,0,-23.5504,-46.6339,BR,BRA,NULL
Seoul,Seoul,1,37.56,126.99,KR,KOR,NULL
Mexico City,Mexico City,1,19.4333,-99.1333,MX,MEX,NULL
Guangzhou,Guangzhou,0,23.1288,113.259,CN,CHN,NULL
Beijing,Beijing,1,39.905,116.3914,CN,CHN,NULL
Cairo,Cairo,1,30.0561,31.2394,EG,EGY,NULL
New York,New York,0,40.6943,-73.9249,US,USA,NULL
Kolk?ta,Kolkata,0,22.5411,88.3378,IN,IND,NULL
Moscow,Moscow,1,55.7558,37.6178,RU,RUS,NULL
Bangkok,Bangkok,1,13.75,100.5167,TH,THA,NULL
Buenos Aires,Buenos Aires,1,-34.5997,-58.3819,AR,ARG,NULL
Shenzhen,Shenzhen,0,22.535,114.054,CN,CHN,NULL
Dhaka,Dhaka,1,23.7289,90.3944,BD,BGD,NULL
Lagos,Lagos,0,6.45,3.4,NG,NGA,NULL
Istanbul,Istanbul,0,41.01,28.9603,TR,TUR,NULL
?saka,Osaka,0,34.75,135.4601,JP,JPN,NULL
Karachi,Karachi,0,24.86,67.01,PK,PAK,NULL
Bangalore,Bangalore,0,12.9699,77.598,IN,IND,NULL
Tehran,Tehran,1,35.7,51.4167,IR,IRN,NULL
Kinshasa,Kinshasa,1,-4.3233,15.3081,CD,COD,NULL
Ho Chi Minh City,Ho Chi Minh City,0,10.8167,106.6333,VN,VNM,NULL
Los Angeles,Los Angeles,0,34.1139,-118.4068,US,USA,NULL
Rio de Janeiro,Rio de Janeiro,0,-22.9083,-43.1964,BR,BRA,NULL
Nanyang,Nanyang,0,32.9987,112.5292,CN,CHN,NULL
Baoding,Baoding,0,38.8671,115.4845,CN,CHN,NULL
Chennai,Chennai,0,13.0825,80.275,IN,IND,NULL
Chengdu,Chengdu,0,30.66,104.0633,CN,CHN,NULL
Lahore,Lahore,0,31.5497,74.3436,PK,PAK,NULL
Paris,Paris,1,48.8566,2.3522,FR,FRA,NULL
London,London,1,51.5072,-0.1275,GB,GBR,NULL
Linyi,Linyi,0,35.0606,118.3425,CN,CHN,NULL
Tianjin,Tianjin,0,39.1467,117.2056,CN,CHN,NULL
Shijiazhuang,Shijiazhuang,0,38.0422,114.5086,CN,CHN,NULL
Zhoukou,Zhoukou,0,33.625,114.6418,CN,CHN,NULL
Lima,Lima,1,-12.05,-77.0333,PE,PER,NULL
Hyder?b?d,Hyderabad,0,17.3667,78.4667,IN,IND,NULL
Handan,Handan,0,36.6116,114.4894,CN,CHN,NULL
